id,service_provider,activity,well_name,template_id,split,heldout_provider,heldout_activity
1,BakerHughes,  slide  mode drilliing ,BH-070,baker_hughes_slide_drilling_v1,test,0,1
2,Halliburton,circulating,MB-64,halliburton_circulating_v1,train,0,0
3,SCHLUMBERGR LTD,rotary drill,ns-1A,slb_rotary_drilling_v2,val,0,0
4,Baker Hughes Company,rot. drilling,BH 73H,baker_hughes_rotary_drilling_v1,test,1,0
5,SLB,slliding,KG 96A,slb_slide_drilling_v1,train,0,0
6,halliburton,CIRCULATION,kg-96A,halliburton_circulating_v1,train,0,0
7,SLB,drillign rotary,MB88ST1,slb_rotary_drilling_v1,val,0,0
8,Halliburton,ROTARY DRILL,MB 35A,halliburton_rotary_drilling_v1,train,0,0
9,Slb Ltd,ROTARY DRILL,AR-37,slb_rotary_drilling_v2,train,0,0
10,  BAKER  HUTHES CO ,rotary drliling,NS-80ST1,baker_hughes_rotary_drilling_v2,train,0,0
11,HAL,drilling rotary,MB-009H,halliburton_rotary_drilling_v1,test,0,0
12,  Hal ,tripping out,WELL-MB-19H,halliburton_trip_out_v1,train,0,0
13,BKR,ROTARY DRLG,NS-002ST1,baker_hughes_rotary_drilling_v2,train,0,0
14,baker hughes,circulate,NS-001A,baker_hughes_circulating_v2,val,0,0
15,baker hughs,Trip In,KG 15A,baker_hughes_trip_in_v1,train,0,0
16,halliburton,trip out of hole,MB60,halliburton_trip_out_v1,test,0,1
17,HALLIBURTON ENERGY SERVICES,pulling out of hole,ar-93ST1,halliburton_trip_out_v1,train,0,0
18,BAKER HUGHES CO,trip out,kg-20H,baker_hughes_trip_out_v1,train,0,0
19,Baker Hughes,POOOH,ns-95H,baker_hughes_trip_out_v1,train,0,0
20,Halliburton,  trip  out ,NS87,halliburton_trip_out_v1,train,0,0
21,halliburton,pull out of hole,WELL-MB-18,halliburton_trip_out_v1,val,0,0
22,SCHUMBERGER LTD,DRILLING ROTARY,kg-71,slb_rotary_drilling_v1,train,0,0
23,SL BLtd,  Circulating ,NS-024,slb_circulating_v2,train,0,0
